As_class,ts_soc,ts_silt,ts_ph,ts_clay,ts_cec,ss_soc,ss_silt,ss_ph,ss_clay,ss_cec,fluvisols,et0_yr,ai_et0,elevation,slope,precip,temp,distance_to_river,latitude,longitude
1,305,331,56,311,196,73,285,56,386,163,8,1496,11823,123,0.734494209,1769,24.03333314,1233.129444,26.21895037,94.02857361
1,307,304,53,271,189,72,281,54,329,162,8,1451,15303,110,0.734494209,2221,23.80833324,3484.868137,26.6758451,94.27391237
0,234,359,52,268,172,83,355,52,336,153,9,1484,14249,92,0.734494209,2116,24.06666644,183.6544161,26.62465191,93.57778106
1,252,331,58,322,200,90,318,59,322,168,9,1487,12419,119,0.734494209,1847,24.04999987,520.2993762,26.32770328,94.07792538
0,255,355,55,266,175,59,329,56,344,159,9,1492,14335,80,0.734494209,2140,24.10833311,327.1932262,26.64095339,93.5696923
1,262,309,55,267,186,67,282,56,347,151,9,1464,14035,107,0.734494209,2056,23.92500003,1994.199622,26.5422966,94.20635503
0,272,311,57,325,187,78,284,58,402,154,9,1488,12207,129,0.734494209,1817,24.01666641,1625.819867,26.29145783,94.06145976
0,282,315,56,260,184,60,285,56,323,158,9,1451,15087,109,0.734494209,2190,23.85000006,2083.962363,26.65041408,94.26102725
1,285,293,54,287,182,81,278,55,354,172,9,1449,16277,94,0.734494209,2360,23.91666683,740.6883447,26.77439672,94.21873654
1,303,299,57,298,185,69,263,59,415,156,9,1483,12931,103,0.734494209,1918,24.08333333,877.3831917,26.42124782,94.12319724
1,240,312,55,277,195,77,284,56,370,170,10,1464,14454,102,0.734494209,2117,23.98333311,265.7189738,26.6134912,94.11085613
1,255,342,56,247,161,46,325,59,333,150,10,1488,14461,81,0.734494209,2153,24.19166644,858.8152165,26.6552652,93.60842727
1,262,327,56,259,155,48,292,58,371,142,10,1490,14577,80,0.734494209,2173,24.20833317,1923.784968,26.66803821,93.61480712
0,266,347,57,295,185,54,292,58,390,151,10,1494,11773,112,0.734494209,1760,24.14166673,1232.850613,26.21747157,93.99637965
0,230,344,57,272,166,57,295,57,375,134,11,1494,11718,116,0.734494209,1751,24.13333337,1422.02549,26.19327888,93.99364597
1,240,338,55,286,170,80,297,57,377,152,11,1478,13038,99,0.734494209,1928,24.10833327,3532.28865,26.48166343,93.9992958
1,240,330,54,271,179,90,294,56,390,153,11,1479,13221,101,0.734494209,1956,24.09166654,1766.39325,26.50349435,93.97956253
1,247,342,55,266,164,51,321,57,355,139,11,1482,13401,100,0.734494209,1987,24.0999999,809.8605548,26.53841393,93.91436174
0,266,339,56,263,153,49,320,57,347,136,11,1482,14756,89,0.734494209,2187,24.10833327,1677.662004,26.67994999,93.89837385
1,266,314,52,268,195,73,275,52,370,166,11,1434,14956,130,0.734494209,2146,23.59166654,2034.963054,26.61417771,94.33831194
0,270,338,56,263,176,67,304,57,353,154,11,1486,14267,80,0.734494209,2121,24.11666648,901.8611089,26.63382197,93.72236752
0,250,334,52,263,184,59,299,52,350,158,12,1485,14220,92,0.734494209,2113,24.08333317,974.4668004,26.62941875,93.72187159
0,254,333,56,255,156,61,319,58,343,143,12,1490,14387,80,0.734494209,2144,24.17499971,255.5412062,26.64601276,93.61234556
1,255,347,54,277,161,80,292,55,409,142,12,1483,12835,103,0.734494209,1904,24.0916667,809.9846563,26.43383066,94.03579479
0,261,339,58,253,162,62,324,60,324,146,12,1487,14491,82,0.734494209,2155,24.19166644,1309.534024,26.66218687,93.75279471
0,265,314,54,266,187,54,289,55,348,160,12,1460,15680,93,0.734494209,2290,23.99166648,495.862818,26.72733129,94.12906235
0,267,352,55,253,159,51,332,56,328,141,12,1487,14343,82,0.734494209,2133,24.13333321,520.3435004,26.64747749,93.71895588
0,320,351,58,281,167,75,318,59,376,152,12,1489,12203,108,0.734494209,1818,24.0916667,1695.830123,26.32151218,94.00077797
0,232,341,56,260,168,54,326,58,351,147,13,1481,13705,100,0.734494209,2031,24.06666644,1337.733282,26.57191887,93.88851363
0,249,308,54,276,190,51,289,56,344,161,13,1465,16565,84,0.734494209,2427,23.95833333,2974.66628,26.80888593,94.13613571
0,254,312,53,282,168,42,292,56,356,145,13,1466,14869,90,0.734494209,2181,23.9749999,484.1876046,26.66030225,94.06188378
1,270,313,55,284,181,64,288,56,377,160,13,1463,14434,94,0.734494209,2113,23.98333327,1020.166462,26.61275939,94.07121539
1,272,343,55,261,175,64,316,56,335,151,13,1486,14197,88,0.734494209,2111,24.0999999,93.04469117,26.63293016,93.73216633
1,283,313,55,265,196,73,287,56,333,167,13,1438,15196,123,0.734494209,2186,23.74166648,382.6642545,26.64828689,94.329989
